product_id,company_id,date,balance,available,granted,liquidity,countable
PRODUCT_03496,COMP_0001,2026-09-01,31795.29,,,,
PRODUCT_04955,COMP_0001,2026-09-01,681.97,,,,
PRODUCT_01355,COMP_0793,2026-09-01,999.4,,-120000.0,120999.4,
PRODUCT_01385,COMP_0793,2026-09-01,12846.6,,,,
PRODUCT_01845,COMP_0793,2026-09-01,8137.78,,,,
PRODUCT_02457,COMP_0793,2026-09-01,13803.89,,,13803.89,13803.89
PRODUCT_03862,COMP_0793,2026-09-01,-195778.7,,-200000.0,4221.3,-195778.7
PRODUCT_04522,COMP_0793,2026-09-01,51916.05,,,,
PRODUCT_04657,COMP_0793,2026-09-01,201292.4,,,201292.4,199972.75
PRODUCT_04933,COMP_0793,2026-09-01,-187845.2,,-196976.09,,
PRODUCT_04980,COMP_0793,2026-09-01,17574.28,,,,
PRODUCT_05045,COMP_0793,2026-09-01,36405.09,,,,
PRODUCT_05822,COMP_0793,2026-09-01,10212.07,,,10212.07,10212.07
PRODUCT_05895,COMP_0793,2026-09-01,11355.16,,,,
PRODUCT_05936,COMP_0793,2026-09-01,200000.0,,-200000.0,400000.0,0.0
PRODUCT_05995,COMP_0793,2026-09-01,9429.27,,,,
PRODUCT_06026,COMP_0793,2026-09-01,3788.45,,,,
PRODUCT_06140,COMP_0793,2026-09-01,5241.39,,,,
PRODUCT_06599,COMP_0793,2026-09-01,494117.58,,-150000.0,644117.58,494117.58
PRODUCT_06753,COMP_0793,2026-09-01,-190752.0,,-200000.0,,
PRODUCT_07304,COMP_0793,2026-09-01,-190000.01,,-196666.67,,
PRODUCT_00573,COMP_0878,2026-09-01,24368.38,,,,
PRODUCT_04892,COMP_0878,2026-09-01,11048.1,,,,
PRODUCT_07382,COMP_0878,2026-09-01,16494.92,,,16494.92,16494.92
