operation_id,company_id,document_type,issuance_date,due_date,payment_date,amount,pending_amount,currency,accounting_currency,exchange_rate,status,concept,counterparty_id
0ae7325637cffb7fb70151456170ff08,COMP_0001,invoice,2025-05-19,2025-05-19,2025-05-07,6050.0,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/42 [COMPANY] Ef 1,COUNTERPARTY_03903
1741b2dc2999a67da0401b5882de4158,COMP_0001,invoice,2025-12-07,2025-12-07,2026-01-05,-987.36,0.0,EUR,EUR,1.0,paid,S.Fra /225 COUNTERPARTY_27064 Ef 1F25/0380,COUNTERPARTY_27064
342fea987c31a48429bdc8855820837e,COMP_0001,invoice,2025-05-19,2025-05-19,2025-05-19,2420.0,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/45 [COMPANY] Ef 1,COUNTERPARTY_03903
41d6a94cb53baa12696040c5822426fe,COMP_0001,invoice,2026-03-31,2026-04-30,2026-05-01,-6.29,0.0,EUR,EUR,1.0,paid,S.Fra /93 COUNTERPARTY_00532 Ef 151056,COUNTERPARTY_47953
6cbd078b1299d3d1a9c20f04f5a0baa2,COMP_0001,invoice,2025-07-11,2025-07-11,2025-07-17,-7260.0,0.0,EUR,EUR,1.0,paid,S.Fra /156 COUNTERPARTY_08037 Ef 114,COUNTERPARTY_08037
883f2ee857992889ed14402e382ed958,COMP_0001,invoice,2025-11-18,2025-11-18,2026-02-06,14520.0,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/192 [COMPANY] Ef 1,COUNTERPARTY_03903
9ee63428b16061a94bc155431b239cce,COMP_0001,invoice,2025-08-17,2025-08-16,2025-10-14,15125.0,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/136 [COMPANY] Ef 1,COUNTERPARTY_03903
c3908ce4691d5a061a59744cd9108f54,COMP_0001,invoice,2025-04-30,2025-04-30,2025-05-07,302.23,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/34 [COMPANY] Ef 1,COUNTERPARTY_03903
c9c4a7b9e8ff6a2f496aacbc20b46ea1,COMP_0001,invoice,2025-06-08,2025-06-08,2025-06-08,-108.03,0.0,EUR,EUR,1.0,paid,S.Fra /118 COUNTERPARTY_01678 Ef 1ES51LEY1AEUI,COUNTERPARTY_48241
0a458626bfdb7f604ffcde911c8d444a,COMP_0001,invoice,2025-06-27,2025-06-27,2025-07-11,4235.0,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/74 [COMPANY] Ef 1,COUNTERPARTY_03903
6b19083afcce4ca6819db55d0d08b8a9,COMP_0001,invoice,2025-07-24,2025-07-24,2025-07-24,8470.0,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/129 [COMPANY] Ef 1,COUNTERPARTY_03903
883b5f9923f6f57763c75b23ffaea7d2,COMP_0001,invoice,2025-06-30,2025-06-30,2025-07-11,1070.9,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/86 [COMPANY] Ef 1,COUNTERPARTY_03903
a2d9aed316e247f553abd858e4423212,COMP_0001,invoice,2025-09-29,2025-09-29,2025-10-14,14520.0,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/158 [COMPANY] Ef 1,COUNTERPARTY_03903
38e95a2d1d55171ce5db8bc2bbfb2095,COMP_0001,invoice,2025-07-24,2025-07-24,2025-07-24,7022.33,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/96 [COMPANY] Ef 1,COUNTERPARTY_03903
7c08132f00635d6d2ce698d0128f6330,COMP_0001,invoice,2025-11-06,2025-11-06,2025-11-18,-870.33,0.0,EUR,EUR,1.0,paid,S.Fra /212 COUNTERPARTY_49014 Ef 1F-251120,COUNTERPARTY_49014
9246d886f2e0d28645c2947c793b6be3,COMP_0001,invoice,2025-05-23,2025-07-21,2025-05-23,-103.67,0.0,EUR,EUR,1.0,paid,S.Fra /93 COUNTERPARTY_49050 Ef 1IA0367,COUNTERPARTY_49050
a190c15638cad479df05f4b47c0a912a,COMP_0001,invoice,2025-06-05,2025-06-05,2025-06-09,186.45,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/56 [COMPANY] Ef 1,COUNTERPARTY_03903
a660ab3883aab2e98bdd3c2c97de822c,COMP_0001,invoice,2025-03-23,2025-04-22,2025-03-23,-125.47,0.0,EUR,EUR,1.0,paid,S.Fra /52 COUNTERPARTY_01023 Ef [REF],COUNTERPARTY_49480
3ed29719b2e1eb4dbeda5f690886ab77,COMP_0001,invoice,2025-10-22,2025-10-22,2025-10-14,4235.0,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/181 [COMPANY] Ef 1,COUNTERPARTY_03903
472b998654cb39a0a2765a4a8fe6fd1e,COMP_0001,invoice,2025-04-15,2025-05-15,2025-04-15,-577.65,0.0,EUR,EUR,1.0,paid,S.Fra /[COMPANY] Ef 1CI[NUM],COUNTERPARTY_28286
86ff0a5442e65e4a1eeaaa86a4207e56,COMP_0001,invoice,2025-09-23,2025-10-23,2025-09-23,-149.46,0.0,EUR,EUR,1.0,paid,S.Fra /181 COUNTERPARTY_01023 Ef [REF],COUNTERPARTY_49480
0ead25a97d26b2a31086c2cf3b582d9a,COMP_0001,invoice,2025-06-11,2025-06-11,2025-06-11,-119.0,0.0,EUR,EUR,1.0,paid,S.Fra /149 COUNTERPARTY_01678 Ef 1ES51[X],COUNTERPARTY_48241
d86a3892dab9ce228c166de75cb480b3,COMP_0001,invoice,2025-04-30,2025-04-30,2025-04-30,3630.0,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/36 [COMPANY] Ef 1,COUNTERPARTY_03903
e56ed3aeb4a7cdf1f68b1a2d4e4e583a,COMP_0001,invoice,2025-09-29,2025-09-29,2025-10-14,2722.5,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/166 [COMPANY] Ef 1,COUNTERPARTY_03903
f32b530ca9b465289794f326abcb5039,COMP_0001,invoice,2025-01-21,2025-02-20,2025-01-21,-808.4,0.0,EUR,EUR,1.0,paid,S.Fra /11 COUNTERPARTY_27285 Ef 1F-158607,COUNTERPARTY_50262
aede7333d7d937801c91397f7b68b312,COMP_0001,invoice,2025-08-31,2025-09-30,2025-08-31,-172.65,0.0,EUR,EUR,1.0,paid,S.Fra /178 COUNTERPARTY_07183 Ef [NUM],COUNTERPARTY_50543
fc5673508b0352f8e3339b420b12a100,COMP_0001,invoice,2025-08-31,2025-09-30,2025-10-07,-3704.64,0.0,EUR,EUR,1.0,paid,S.Fra /176 COUNTERPARTY_23347 Ef 1RR/250.527,COUNTERPARTY_23347
ffc980bdf6fb6fccda0818f5e23a9d99,COMP_0001,invoice,2024-12-02,2025-01-01,2024-12-02,-1512.5,0.0,EUR,EUR,1.0,paid,S.Fra /99 COUNTERPARTY_27064 Ef 1F24/0403,COUNTERPARTY_27064
0bdbc2c6a914a9508caed0603c9199d7,COMP_0001,invoice,2025-07-24,2025-07-24,2025-07-24,3207.71,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/90 [COMPANY] Ef 1,COUNTERPARTY_03903
279973811670d2591ad9984d82ab879a,COMP_0001,invoice,2025-07-24,2025-07-24,2025-07-24,447.7,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/103 [COMPANY] Ef 1,COUNTERPARTY_03903
5b3dbe914c86de8d3afd9904fe28e9cd,COMP_0001,invoice,2025-08-12,2025-09-11,2025-08-12,-3323.87,0.0,EUR,EUR,1.0,paid,S.Fra /167 COUNTERPARTY_23347 Ef 1RR/250.500,COUNTERPARTY_23347
0c453ae0d7a5f0f8c3774039501f7cfe,COMP_0001,invoice,2025-06-09,2025-06-09,2025-06-11,-11.35,0.0,EUR,EUR,1.0,paid,S.Fra /120 COUNTERPARTY_01678 Ef 1ES51[X]9AEUI,COUNTERPARTY_48241
1e1fb1c97af433b66d0eb992f3900522,COMP_0001,invoice,2025-07-24,2025-07-24,2025-07-24,114.95,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/100 [COMPANY] Ef 1,COUNTERPARTY_03903
67665880979756ffd6f830e2af9c1950,COMP_0001,invoice,2025-05-28,2025-06-20,2025-05-30,-53.15,0.0,EUR,EUR,1.0,paid,S.Fra /96 COUNTERPARTY_51086 Ef 1ES51HJ08AEUI,COUNTERPARTY_51086
80ba203ca95610aeff17b0e7fb24fd4c,COMP_0001,invoice,2025-06-10,2025-06-10,2025-06-10,290.38,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/67 [COMPANY] Ef 1,COUNTERPARTY_03903
dac4af9cfc36a3b0abb8035aeef0600d,COMP_0001,invoice,2025-05-04,2025-05-04,2025-07-17,-7260.0,0.0,EUR,EUR,1.0,paid,S.Fra /76 COUNTERPARTY_26899 Ef 19,COUNTERPARTY_26899
f5529c27ceebae46354e26c07a651075,COMP_0001,invoice,2026-02-18,2026-03-20,2026-02-18,-87.24,0.0,EUR,EUR,1.0,paid,S.Fra /23 COUNTERPARTY_49050 Ef 1II3017,COUNTERPARTY_49050
fd3b9b34ef49cbd5e06e00b88bf763c9,COMP_0001,invoice,2025-07-22,2025-08-21,2025-07-22,-194.12,0.0,EUR,EUR,1.0,paid,S.Fra /[COMPANY] Ef 1ZB25-[NUM],COUNTERPARTY_28286
d3fb6a9dd868c54ec272e9d74b404c5b,COMP_0001,invoice,2025-06-27,2025-06-27,2025-06-27,15730.0,0.0,EUR,EUR,1.0,paid,N.Fra TB2025F/78 [COMPANY] Ef 1,COUNTERPARTY_03903
ebad9eec988e491d1c72199f69d28c2b,COMP_0001,invoice,2025-10-31,2025-10-31,2025-11-01,-83.77,0.0,EUR,EUR,1.0,paid,S.Fra /209 COUNTERPARTY_51811 Ef 1CI[NUM]-1025,COUNTERPARTY_51811
11fa7c0af45510dad7cdd4a1b13ad89a,COMP_0001,invoice,2025-12-23,2025-12-23,2026-01-05,-7260.0,0.0,EUR,EUR,1.0,paid,S.Fra /233 COUNTERPARTY_26899 Ef 122,COUNTERPARTY_26899
